No.,Question,Correct Answer
356,Which of the following is a good practice to consider when designing websites for an international audience?,Plan the site before developing
357,Which of the following is true of objective-oriented programming languages?,Operations are linked to the data that they run on
358,Which of the following is true of operating systems?,Stable operating systems do not cause a computer to freeze or produce error messages
359,Which of the following statements is true about radio frequency identification tags?,They are not always flat
360,"While ____ might sound benign, many privacy advocates claim that it violates privacy rights.",consumer profiling
361,"While blogging is publishing text and other visual material, _____ is publishing sound and video.",podcasting
362,"While the SDLC or any other waterfall approach requires users to sign off on their requirements and then wait for the system to be completed, ____ encourage users' involvement throughout the process.",agile methods
363,Wi-fi is an important wireless technology that has enabled many functionalities that are used every day.,False
364,Wi-Fi is stands for,Wireless Fidelity
365,"With _____, data transmitted to computers from a telephone company's switching center remains digital throughout the entire transmission.",digital subscriber line
