No.,Question,Correct Answer,Choice A,Choice B,Choice C,Choice D
320,The minimum employment age is 15 years of age...,Employment of Children,Safe Working Condition,Payment of Wages,Female Employees,
321,"Since morality is culturally based, individuals are bound to live within the guidelines the society lives with",True,,,,
322,It is sometimes referred to as a Value Statement.,Codes of Ethics,Code,Ethics,Ethics and Codes,
323,These are attributes that enable you to perform your job duties,Competencies,Mission,Work,Motivation,
324,It is the most common variety of relativism.,Moral Relativism,Conceptual Relativism,Ethical Relativism,Epistemic Relativism,
325,"If the codes of conduct focuses on rules and guidelines, autonomy focuses on",power balance,,,,
326,"As soon as the minor incident has been brought to attention, it is the duty of the maintenance and secretary...",False,True,,,
327,It is hardware or software used to isolate the sensitive portions of an information system facility from the outside world...,fireworks,,,,
328,These are set of programs that enables its user to gain administrator level access to a computer without the end user's consent or knowledge,rootkit,,,,
329,"Upon the age of 60 years or higher, the employee who has served a company for at least five years may be granted a ________...",Retirement Pay,13th Month Pay,Bonuses,Overtime Pay,
330,When the completion or continuation of work started before the 8th hour is necessary to prevent serious obstruction...,True,False,,,
331,"Due to the decreasing number of regulations and need for operational transparency, organizations are increasingly adopting...",False,True,,,
332,"It is the ability of an individual or group to seclude themselves, or information about themselves...",Privacy,Secret,Restriction,Confidentiality,
333,It is a disciplined group of individuals who adhere to ethical standards...,Profession,Government,Work,Company,
334,"When we use our _______ to make decisions, we make a deliberate choice to focus on what is important to us.",Values,Heart,Brain,Instinct,
335,Breaching confidentiality is considered professional misconduct.,True,False,,,
336,For formal education to be effective in teaching and enforcing the pillars of professionalism it must be _________,Incremental,,,,
337,It plays a vital role during the length of time that an official position is occupied...,Accountability,Greed,Integrity,Objectivity,
338,It is an international issue where more than 72 million children throughout the globe that are of the age to be in primary education are not enrolled...,Lack of Education,Unemployment,Gender Inequality,Racism,
339,All Utilitarians would abide by the principle of producing the most good with the least harm,True,False,,,
340,Ethics codes are as old as antiquity.,True,False,,,
341,Which is not true about the word profession?,"Since the beginning, there is an emphasis on intellectual capabilities for membership in a group as it is deemed important",,,,
342,Any pregnant woman employee who has worked with the company for at least six months will be granted____________...,Maternity Leave,Vacation Leave,Paternity Leave,Sick Leave,
343,"Sensors, Security Lighting and Natural Trees",Physical Security Barriers,,,,
344,It is the discipline dealing with what is good and bad and with moral duty and obligation,Ethics,Policy,Social Standards,Laws,
345,"In Kantian, whether an action is right or wrong depends on the moral norms of the society in which it is practiced",False,True,,,
346,"As a legal term, secrecy refers to a duty of an individual to refrain from sharing confidential information with others...",False,True,,,
347,Unauthorized ways,Cyberpiracy,,,,
348,Professionals habitually work directly with their clients rather than through intermediaries or proxies.,Direct working relationship,Autonomy,Clients rather than customer,Great Responsibility,
349,Which of the following is not an example of service industry?,None of the below,Transport and Storage,Real Estate,Insurance and Banking,
350,"The skill, good judgment and polite behavior that is expected from a person who is trained to do a job well.",Professionalism,Utilitarianism,Traditionalism,Fundamentalism,
351,Licensees shall not agree to requests by participants in a parenting plan evaluation that information shared with the licensee be concealed.,True,Maybe,False,No Answer,
352,"It includes sexual harassment and sexual violence, which is included as part of sexual harassment.",Sexual Misconduct,Arson,Robbery,Assault,
353,"An enthusiastic and informal answer simply won't work for a formal and annoyed customer, even if it's correct.",Communication Skills,Honesty,Imagination,Resourcefulness,
354,Part of good judgment is also not overreacting or reacting emotionally in highly tense situations.,True,False,,,
355,"It is the harassment, torment, humiliation, or threatening of one minor by another minor or group of minors...",Cyberbullying,,,,
356,Dental and optical care might be offered as part of an overall medical insurance package.,True,False,,,
357,The danger with information matching is that no one knows who will use the built profiles...,True,,,,
358,"While confidentiality is an ethical duty, privacy is a right rooted in common law.",True,False,,,
359,It protects your family in case you die. Benefits are paid all at once to the beneficiaries of the policy...,Life Insurance,Disability Insurance,Accident Insurance,Educational Plan,
360,"It refers to personal information shared with an attorney, physician, therapist... (second instance)",Confidentiality,Restricted,Secretive,Privacy,
361,Under what condition can data collections become an invasion of privacy?,when information is used for unauthorized purposes,,,,
362,Competence means attaining and maintaining an adequate level of knowledge and skill...,True,False,,,
363,It may arise whenever there are cultural differences. It happens when you work with people from culturally diverse backgrounds.,Cross-cultural misunderstanding,Personal conflicts,Cultural discrimination,Racism,
364,Relativism theorizes that truth is different for different people...,True,False,,,
365,Which statement is true about Artificial Intelligence?,Both Statements are True,,,,
366,When overtime work is necessary to avail of favorable weather or environmental conditions...,True,False,,,
367,"In Spear-phishing, con artists send legitimate looking e-mails urging the recipient to take action...",False,,,,
368,Shapes cannot be registered as trademarks if the shapes are not necessitated by technical factors,True,,,,
369,Fairness is the provision of services in a reasonably prompt and thorough manner...,True,False,,,
370,Your skills will only take you so far unless you also display other aspects of professionalism.,True,False,,,
371,"Seven days leave with pay for every year of service, on top of other leave privileges...",SPL,Paternity Leave,Vacation Leave,Sick Leave,
372,Providing responses and solutions quickly is the speed at which your customer service operates...,True,False,,,
373,How many principles of public life are discussed?,Seven,Two,Five,Six,
374,The period should not exceed six (6) months from the date the employee started working...,Probationary Employment,Minimum employable age,Prohibition against stipulation of marriage,Anti-sexual Harassment law,
375,"It includes the integrity, confidentiality, and availability of information at the servers",information security,,,,
376,One of the contributing factors in the cause of violations is when consumers lack the knowledge...,True,,,,
377,It is the application of data mining techniques to discover patterns from the Web,web mining,,,,
378,It is a type of offense when an individual accesses the whole or part of a computer system without permission or right,illegal access,,,,
379,It's also important to note that suspension should not be seen as a sanction.,True,False,,,
380,"The longer a problem persists, the more of a nuisance it is for the customer.",Customer,Leadership,Seller,Employer,
381,We often use the terms 'confidentiality' and 'privacy' interchangeably in our everyday lives...,True,False,,,
382,The unlawful entry of a structure to commit a felony or theft.,Burglary,Domestic Violence,Arson,Assault,
383,When we try to identify the character traits (either positive or negative) that might motivate us...,Virtue Framework,Duty Framework,Framework,Consequentialist Framework,
384,It describes the goal that organizations aspire to achieve in their efforts to ensure that they are aware of and take steps to comply with relevant laws...,Regulatory Compliance,Ethical Compliance,Lawful Compliance,Compliance,
385,This is another term for large commercial databases,data warehouse,,,,
386,All of the statements are true about the first requirement of a Patent Work except:,It must serve a basic purpose,,,,
387,"As the social network grows, it tends to lose the nuances of a local system...",True,,,,
388,The owner of a patent has no right to prevent third parties from using the patented product if it has been put on the market by the owner...,True,,,,
389,When we focus on the duties and obligations that we have in a given situation...,Duty Framework,Framework,Consequentialist Framework,Virtue Framework,
390,"It is difficult for some employees to voice, but these opinions are a vital part of improving quality.",Constructive Feedback,Leadership,Submitting Ideas,Staying Silent,
391,When we focus on the future effects of the possible courses of action...,Consequentialist Framework,Framework,Virtue Framework,Duty Framework,
392,It refers to standards of behavior that tell us how human beings ought to act...,Ethics,Conduct,Behavior,Work,
393,Penetration can be done with or without the use of the internet,True,,,,
394,It aims to establish the highest principles and standards.,Codes of Ethics,Ethics,Ethics and Codes,Codela,
395,Morality is enforced by the authority that enacted them and security forces,False,,,,
396,"He wrote 'If men were angels, no government would be necessary...'",James Madison,James Madrigal,Jay Madison,Jay Madrigal,
397,These are written in response to contemporary conditions...,Ethical Codes,Bills,Laws,Policies,
398,Legal acts conform to what an individual believes to be the right thing to do.,False,,,,
399,Type of values that reflect on how your organisation shows up and operates in the world.,Organisational values,Individual values,Relationship values,Societal values,
400,Listening in to other people's conversations is an example of what privacy violation?,Interception of Information,,,,
401,Determining customer behavior and preferences,Prediction,,,,
402,"It is simply, what you believe about the educational process...",Philosophical Framework,Beliefs,Policy,Ethics,
403,"Now that you've considered the dilemma and your own position on it, think about the question a little further.",Clarify the questions,Identify the uncertainty,Analyze your biases,List the major stakeholders,
404,"It is one of the most difficult global issues to combat, as the umbrella term refers to ocean litter...",Pollution,Terrorism,Crimes,Interior Risk,
405,It may arise whenever there are cultural differences... (second instance),Cross-cultural misunderstanding,Racism,Personal conflicts,Cultural discrimination,
406,Fringe benefits are a variety of cash payments are used to attract and retain talented employees...,True,False,,,
407,Instilling fear and doubt and compromising the integrity of the data can lead to,extortion,,,,
408,It involve dual relationships; one person in a position in one relationship and a relationship in another situation,Conflict of Interest,Unethical Profession,Gross Misconduct,Professional Misconduct,
409,It demands honesty and candor which must not be subordinated to personal gain and advantage.,Objectivity,Integrity,Competence,Fairness,
